"District","Turnout","Outcome","FPTP.Winner","FPTP.Winner.Votes","AV.Winner","AV.Winner.Votes","Rounds"
"Birkenhead","35323","Unaltered","Lab","22082","Lab","22082","1"
"Birmingham Edgbaston","41571","Altered","Lab","16894","Con","22393","7"
"Birmingham Erdington","35546","Unaltered","Lab","14869","Lab","19196","7"
"Birmingham Hall Green","48727","Unaltered","Lab","16039","Lab","25138","5"
"Birmingham Hodge Hill","42472","Unaltered","Lab","22077","Lab","22077","1"
"Birmingham Ladywood","35833","Unaltered","Lab","19950","Lab","19950","1"
"Birmingham Northfield","41814","Unaltered","Lab","16841","Lab","22101","6"
"Birmingham Perry Barr","42045","Unaltered","Lab","21142","Lab","21142","1"
"Birmingham Selly Oak","46563","Unaltered","Lab","17950","Lab","26088","6"
"Birmingham Yardley","40850","Unaltered","LD","16162","LD","23998","5"
"Bishop Auckland","41136","Unaltered","Lab","16023","Lab","20694","5"
"Blackburn","45499","Unaltered","Lab","21751","Lab","26873","7"
"Blackley & Broughton","34204","Unaltered","Lab","18563","Lab","18563","1"
"Blackpool North & Cleveleys","40591","Unaltered","Con","16964","Con","22977","5"
"Blackpool South","35192","Altered","Lab","14449","Con","19217","5"
"Blaenau Gwent","32395","Unaltered","Lab","16974","Lab","16974","1"
"Blaydon","44913","Unaltered","Lab","22297","Lab","22297","3"
"Blyth Valley","38566","Unaltered","Lab","17156","Lab","17156","6"
"Bognor Regis & Littlehampton","46852","Unaltered","Con","24087","Con","24087","1"
"Bolsover","43988","Unaltered","Lab","21994","Lab","25385","4"
"Bolton North East","43277","Unaltered","Lab","19870","Lab","22666","4"
"Bolton South East","39604","Unaltered","Lab","18782","Lab","24073","6"
"Bolton West","47576","Unaltered","Lab","18327","Lab","24900","6"
"Bootle","41277","Unaltered","Lab","27426","Lab","27426","1"
"Boston & Skegness","43125","Unaltered","Con","21325","Con","23603","3"
"Bosworth","54274","Unaltered","Con","23132","Con","27303","5"
"Bournemouth East","44024","Unaltered","Con","21320","Con","24347","3"
"Bournemouth West","41659","Unaltered","Con","18808","Con","21807","3"
"Bracknell","52136","Unaltered","Con","27327","Con","27327","1"
"Bradford East","40457","Unaltered","LD","13637","LD","24497","6"
"Bradford South","37995","Altered","Lab","15682","Con","20219","5"
"Bradford West","40576","Unaltered","Lab","18401","Lab","24388","7"
"Braintree","49203","Unaltered","Con","25901","Con","25901","1"
"Brecon & Radnorshire","38845","Unaltered","LD","17929","LD","23126","7"
