x	y	x_norm	cutoff_10189	cutoff_13585	cutoff_16981	cutoff_23773	cutoff_30565	cutoff_37356	cutoff_44148
7581.6665	0	-2607.3335	1	0	0	0	0	0	0
7271	0	-2918	1	0	0	0	0	0	0
10622.667	0	433.66699	1	1	0	0	0	0	0
12226.333	0	-1358.667	1	1	0	0	0	0	0
13166.667	1	-418.33301	1	1	0	0	0	0	0
31417.666	0	852.66602	0	0	0	0	1	1	0
20638.666	1	-3134.334	0	0	1	1	0	0	0
27148.666	1	3375.666	0	0	0	1	1	0	0
11472	1	1283	1	1	0	0	0	0	0
13661.333	1	76.333008	0	1	1	0	0	0	0
10592.333	0	403.33301	1	1	0	0	0	0	0
30786.666	1	221.66602	0	0	0	0	1	1	0
23164	1	-609	0	0	1	1	0	0	0
26241	1	2468	0	0	0	1	1	0	0
15268	1	1683	0	1	1	0	0	0	0
22103.334	0	-1669.666	0	0	1	1	0	0	0
22103.334	0	-1669.666	0	0	1	1	0	0	0
25002.334	1	1229.334	0	0	0	1	1	0	0
9726.333	0	-462.66699	1	0	0	0	0	0	0
14534	1	949	0	1	1	0	0	0	0
14084.333	0	499.33301	0	1	1	0	0	0	0
26282	1	2509	0	0	0	1	1	0	0
12760	0	-825	1	1	0	0	0	0	0
16439	1	-542	0	1	1	0	0	0	0
7226	1	-2963	1	0	0	0	0	0	0
7322.3335	1	-2866.6665	1	0	0	0	0	0	0
32729.334	1	2164.334	0	0	0	0	1	1	0
8794	0	-1395	1	0	0	0	0	0	0
10055	0	-134	1	0	0	0	0	0	0
9352.333	0	-836.66699	1	0	0	0	0	0	0
9597.667	0	-591.33301	1	0	0	0	0	0	0
13249.667	0	-335.33301	1	1	0	0	0	0	0
